,LAT_LONG_YEAR,TAR_COUNT,LAT,LONG,YEAR,LAT_LONG,DAU_CODE,DAU_YEAR,DAU_NAME,APPLIED_WATER_ACRE,PRECIP_AF_ACRE,MEAN_TEMPC,RICE_PERCENT_DAU,DEV_HIGH_PERCENT_DAU,DEV_LOW_PERCENT_DAU,DEV_MED_PERCENT_DAU,DEV_OPEN_PERCENT_DAU,DEV_TOTAL_PERCENT_DAU,OPENWATER_PERCENT_DAU,WETLAND_PERCENT_DAU,DAU_CENTER_LAT,DAU_CENTER_LONG,AG2010,AG_TOTAL_PERCENT_DAU2015,SD,CV,PIP_QNX_COUNT,ERY_COUNT,THR_COUNT,STG_COUNT,PIP_QNX_SD,ERY_SD,THR_SD,STG_SD,PIP_QNX_CV,ERY_CV,THR_CV,STG_CV,CX_OTHER_COUNT,CX_OTHER_SD,CX_OTHER_CV
11,33.281944_-115.578611_2010,1634.071429,33.281944,-115.578611,2010,33.281944_-115.578611,353,353_2010,Imperial,1.592157244,0.449472565,26.62162627,0,0.103110421,2.358850686,0.680671516,0.530970068,3.67360269,0.444985072,0.457229965,32.99075646,-115.4848395,30.04492079,34.43737405,2860.798825,175.0718343,0,925.1428571,0,0,0,1332.26602,0,0,,144.0065185,,,925.1428571,1332.26602,144.0065185
12,33.386678_-117.593914_2007,0.088235294,33.386678,-117.593914,2007,33.386678_-117.593914,120,120_2007,San Diego County,0.125814506,0.552461238,19.15435284,0,2.161948541,5.518352631,8.445585915,8.445745076,24.57163216,0.420802754,0.799445284,33.0167624,-116.9163191,0.075314582,6.611593486,0.378805704,429.3131314,0.029411765,0.5,0,0,0.171498585,1.331438047,0,0,583.0951895,266.2876094,,,0.529411765,1.331103304,251.4306242
13,33.386678_-117.593914_2008,0.617647059,33.386678,-117.593914,2008,33.386678_-117.593914,120,120_2008,San Diego County,0.112045574,1.374505435,19.77754286,0,2.161948541,5.518352631,8.445585915,8.445745076,24.57163216,0.420802754,0.799445284,33.0167624,-116.9163191,0.075314582,6.611593486,1.669961093,270.3746531,0.058823529,0.735294118,0,0,0.238832574,1.081772494,0,0,406.0153751,147.1210592,,,0.794117647,1.066839335,134.3427311
14,33.386678_-117.593914_2009,0.028571429,33.386678,-117.593914,2009,33.386678_-117.593914,120,120_2009,San Diego County,0.103982829,0.957879264,19.13391106,0,2.161948541,5.518352631,8.445585915,8.445745076,24.57163216,0.420802754,0.799445284,33.0167624,-116.9163191,0.075314582,6.611593486,0.169030851,591.6079694,0.028571429,2.485714286,0,0.028571429,0.169030851,4.118619333,0,0.169030851,591.6079783,165.6915824,,591.6079783,2.542857143,4.096934702,161.1154096
15,33.386678_-117.593914_2010,0.321428571,33.386678,-117.593914,2010,33.386678_-117.593914,120,120_2010,San Diego County,0.097400633,1.937550607,17.50210697,0,2.161948541,5.518352631,8.445585915,8.445745076,24.57163216,0.420802754,0.799445284,33.0167624,-116.9163191,0.075314582,6.611593486,0.669636243,208.331276,0.035714286,4.285714286,0,0,0.188982237,4.928053803,0,0,529.1502622,114.9879221,,,4.321428571,5.048311573,116.8204331
16,33.409639_-117.591006_2007,0.147058824,33.409639,-117.591006,2007,33.409639_-117.591006,114,114_2007,Viego,0.019267171,0.339012823,20.00324011,0,1.511112436,12.900372,13.84045504,11.99951441,40.25145388,0.10706653,0.422383408,33.57113069,-117.6091703,0.006475828,2.841417862,0.435705832,296.2799649,0.264705882,0,0,0,0.567227362,0,0,0,214.2858924,,,,0.264705882,0.567227362,214.2858924
17,33.409639_-117.591006_2008,1.323529412,33.409639,-117.591006,2008,33.409639_-117.591006,114,114_2008,Viego,0.015927672,1.095505844,20.93712171,0,1.511112436,12.900372,13.84045504,11.99951441,40.25145388,0.10706653,0.422383408,33.57113069,-117.6091703,0.006475828,2.841417862,3.573645861,270.0087984,0.470588235,0,0,0,1.522264942,0,0,0,323.4813001,,,,0.470588235,1.522264942,323.4813001
18,33.409639_-117.591006_2009,0.028571429,33.409639,-117.591006,2009,33.409639_-117.591006,114,114_2009,Viego,0.016611325,0.774754353,20.29532892,0,1.511112436,12.900372,13.84045504,11.99951441,40.25145388,0.10706653,0.422383408,33.57113069,-117.6091703,0.006475828,2.841417862,0.169030851,591.6079694,0.428571429,0,0,0,0.608068992,0,0,0,141.8827648,,,,0.428571429,0.608068992,141.8827648
19,33.409639_-117.591006_2010,0.25,33.409639,-117.591006,2010,33.409639_-117.591006,114,114_2010,Viego,0.013796849,1.807727349,18.6355263,0,1.511112436,12.900372,13.84045504,11.99951441,40.25145388,0.10706653,0.422383408,33.57113069,-117.6091703,0.006475828,2.841417862,0.645497224,258.1988897,0.25,8.535714286,0,0,0.700528901,12.64759425,0,0,280.2115603,148.1726523,,,8.785714286,12.95392731,147.4430751
20,33.440559_-116.0607_2006,30.8125,33.440559,-116.0607,2006,33.440559_-116.0607,348,348_2006,Coachella,0.200069265,0.376138704,23.41596548,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,49.06352175,159.232525,2.3125,15.25,0,0,6.508648093,32.99797974,0,0,281.4550527,216.380195,,,17.5625,38.81403312,221.0051708
21,33.440559_-116.0607_2007,10.875,33.440559,-116.0607,2007,33.440559_-116.0607,348,348_2007,Coachella,0.19006422,0.175126799,23.444368,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,22.08430815,203.074098,12.25,0.6875,0,0,14.89742707,2.75,0,0,121.6116496,400,,,12.9375,15.42495273,119.2266878
22,33.440559_-116.0607_2008,9.277777778,33.440559,-116.0607,2008,33.440559_-116.0607,348,348_2008,Coachella,0.193106837,0.689030126,23.67992768,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,18.24604891,196.6640002,1.5,0.388888889,0,0,2.229481607,1.649915823,0,0,148.6321071,424.2640687,,,1.888888889,3.122760636,165.3226219
23,33.440559_-116.0607_2009,5,33.440559,-116.0607,2009,33.440559_-116.0607,348,348_2009,Coachella,0.197375401,0.473260555,23.39427007,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,7.783844506,155.6768901,2.055555556,0.222222222,0,0,2.484593048,0.732084498,0,0,120.8720942,329.4380242,,,2.277777778,2.492472327,109.4256144
24,33.440559_-116.0607_2010,20.625,33.440559,-116.0607,2010,33.440559_-116.0607,348,348_2010,Coachella,0.199904918,0.95952695,22.31737641,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,28.29811537,137.2029836,4.6875,0,0,0,6.57995694,0,0,0,140.3724147,,,,4.6875,6.57995694,140.3724147
25,33.454897_-116.078977_2006,42.75,33.454897,-116.078977,2006,33.454897_-116.078977,348,348_2006,Coachella,0.200069265,0.376138704,23.41596548,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,64.76264355,151.4915639,16.625,10.5,0,0,37.8820538,27.22743714,0,0,227.8619777,259.3089252,,,27.125,49.87033186,183.853758
26,33.454897_-116.078977_2007,17.6875,33.454897,-116.078977,2007,33.454897_-116.078977,348,348_2007,Coachella,0.19006422,0.175126799,23.444368,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,22.99483638,130.0061421,12.9375,1.0625,0,0,24.38706966,3.492253332,0,0,188.4990892,328.6826665,,,14,27.50999818,196.499987
27,33.454897_-116.078977_2008,69.33333333,33.454897,-116.078977,2008,33.454897_-116.078977,348,348_2008,Coachella,0.193106837,0.689030126,23.67992768,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,105.9578162,152.8237734,10.33333333,0.166666667,0,0,22.22346402,0.707106781,0,0,215.0657808,424.2640687,,,10.5,22.84281326,217.5506025
28,33.454897_-116.078977_2009,16.38888889,33.454897,-116.078977,2009,33.454897_-116.078977,348,348_2009,Coachella,0.197375401,0.473260555,23.39427007,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,16.2304684,99.03336652,29.66666667,0.444444444,0,0.055555556,41.33791878,1.041617646,0,0.23570226,139.3412993,234.3639703,,424.2640687,30.16666667,41.63461512,138.0152988
29,33.454897_-116.078977_2010,78.58823529,33.454897,-116.078977,2010,33.454897_-116.078977,348,348_2010,Coachella,0.199904918,0.95952695,22.31737641,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,80.3150506,102.1972949,49.35294118,2.058823529,0,0,118.788647,4.762753776,0,0,240.6921333,231.3337548,,,51.41176471,118.7218697,230.9235452
30,33.455241_-116.061172_2006,88.58823529,33.455241,-116.061172,2006,33.455241_-116.061172,348,348_2006,Coachella,0.200069265,0.376138704,23.41596548,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,130.2363519,147.0131462,6.176470588,114.5294118,0,0,7.939106484,220.9850441,0,0,128.5379145,192.9504751,,,120.7058824,226.0427959,187.2674235
31,33.455241_-116.061172_2007,47.23529412,33.455241,-116.061172,2007,33.455241_-116.061172,348,348_2007,Coachella,0.19006422,0.175126799,23.444368,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,45.38244348,96.07740214,20.35294118,30.64705882,0,0,23.09475367,54.82009346,0,0,113.4713331,178.8755449,,,51,72.81311695,142.7708175
32,33.455241_-116.061172_2008,102.5,33.455241,-116.061172,2008,33.455241_-116.061172,348,348_2008,Coachella,0.193106837,0.689030126,23.67992768,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,189.184084,184.5698381,38.38888889,46.44444444,0,0.055555556,74.09543837,166.6268188,0,0.23570226,193.0127193,358.7658777,,424.2640687,84.88888889,183.0897848,215.6816836
33,33.455241_-116.061172_2009,60.05555556,33.455241,-116.061172,2009,33.455241_-116.061172,348,348_2009,Coachella,0.197375401,0.473260555,23.39427007,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,60.07492598,100.0322542,49.66666667,46.94444444,0,0,72.14446292,84.51625129,0,0,145.2573079,180.0346181,,,96.61111111,109.4269237,113.2653609
34,33.455241_-116.061172_2010,197.6470588,33.455241,-116.061172,2010,33.455241_-116.061172,348,348_2010,Coachella,0.199904918,0.95952695,22.31737641,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,227.7029153,115.2068322,81.05882353,13.58823529,0,0,139.7620615,32.76632956,0,0,172.4205403,241.1374903,,,94.64705882,157.1217447,166.0080584
35,33.459421_-116.087272_2006,52.52941176,33.459421,-116.087272,2006,33.459421_-116.087272,348,348_2006,Coachella,0.200069265,0.376138704,23.41596548,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,56.10048757,106.7982406,145.3529412,4.411764706,0,0,376.4422169,17.93411143,0,0,258.9849327,406.5065258,,,149.7647059,376.9574793,251.6998094
36,33.459421_-116.087272_2007,19.33333333,33.459421,-116.087272,2007,33.459421_-116.087272,348,348_2007,Coachella,0.19006422,0.175126799,23.444368,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,31.25794017,161.6790009,53,0,0,0,86.34813258,0,0,0,162.9210049,,,,53,86.34813258,162.9210049
37,33.459421_-116.087272_2008,137.2222222,33.459421,-116.087272,2008,33.459421_-116.087272,348,348_2008,Coachella,0.193106837,0.689030126,23.67992768,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,232.3001495,169.2875584,36.83333333,1.166666667,0,2.611111111,51.29298771,4.706066173,0,11.07800624,139.2569802,403.3771005,,424.2640687,40.61111111,51.64942786,127.1805337
38,33.459421_-116.087272_2009,16.77777778,33.459421,-116.087272,2009,33.459421_-116.087272,348,348_2009,Coachella,0.197375401,0.473260555,23.39427007,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,14.83856484,88.44177719,34.83333333,0.5,0,0,49.13995619,2.121320344,0,0,141.0716446,424.2640687,,,35.33333333,49.68015345,140.6042079
39,33.459421_-116.087272_2010,119.8823529,33.459421,-116.087272,2010,33.459421_-116.087272,348,348_2010,Coachella,0.199904918,0.95952695,22.31737641,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,120.6222836,100.617214,75.17647059,3.176470588,0,0,101.6103066,8.141216848,0,0,135.1623797,256.2975674,,,78.35294118,103.9765245,132.7027715
40,33.462382_-116.061245_2006,240.8823529,33.462382,-116.061245,2006,33.462382_-116.061245,348,348_2006,Coachella,0.200069265,0.376138704,23.41596548,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,484.9896755,201.3388152,4.705882353,1619.764706,0,0,19.14668609,3095.288164,0,0,406.8670794,191.0949259,,,1624.470588,3092.738069,190.3843684
41,33.462382_-116.061245_2007,103.6666667,33.462382,-116.061245,2007,33.462382_-116.061245,348,348_2007,Coachella,0.19006422,0.175126799,23.444368,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,79.7746827,76.9530701,2,213.9444444,0,0,6.543968934,441.7581814,0,0,327.1984467,206.4826608,,,215.9444444,445.8651171,206.4721407
42,33.462382_-116.061245_2008,323.6111111,33.462382,-116.061245,2008,33.462382_-116.061245,348,348_2008,Coachella,0.193106837,0.689030126,23.67992768,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,594.8730106,183.8234196,11.27777778,338,0,0,31.91497077,569.8681994,0,0,282.9898886,168.600059,,,349.2777778,572.9865829,164.048966
43,33.462382_-116.061245_2009,191.8888889,33.462382,-116.061245,2009,33.462382_-116.061245,348,348_2009,Coachella,0.197375401,0.473260555,23.39427007,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,140.3331703,73.13251493,4.833333333,29.72222222,0,0,8.590350263,55.50496062,0,0,177.7313848,186.7456619,,,34.55555556,57.34028686,165.9365214
44,33.462382_-116.061245_2010,389.6969697,33.462382,-116.061245,2010,33.462382_-116.061245,348,348_2010,Coachella,0.199904918,0.95952695,22.31737641,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,478.3778243,122.7563624,18.96969697,32.72727273,0,0,31.20745589,69.61917513,0,0,164.5121477,212.7252573,,,51.6969697,86.48463912,167.2915059
45,33.463593_-116.074278_2006,123.6875,33.463593,-116.074278,2006,33.463593_-116.074278,348,348_2006,Coachella,0.200069265,0.376138704,23.41596548,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,202.7805772,163.9458937,0.75,147.625,0,0,1.61245155,344.8384888,0,0,214.99354,233.5908476,,,148.375,344.5859109,232.2398726
46,33.463593_-116.074278_2007,54.05882353,33.463593,-116.074278,2007,33.463593_-116.074278,348,348_2007,Coachella,0.19006422,0.175126799,23.444368,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,51.20970439,94.72959462,1.823529412,3.352941176,0,0,3.844400053,7.968227347,0,0,210.8219384,237.6488858,,,5.176470588,10.1256808,195.6097428
47,33.463593_-116.074278_2008,268.6666667,33.463593,-116.074278,2008,33.463593_-116.074278,348,348_2008,Coachella,0.193106837,0.689030126,23.67992768,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,398.3979683,148.287085,15.88888889,17.77777778,0,0.055555556,28.24449741,47.67359061,0,0.23570226,177.7625711,268.1639472,,424.2640687,33.72222222,70.77204961,209.8676924
48,33.463593_-116.074278_2009,49.82352941,33.463593,-116.074278,2009,33.463593_-116.074278,348,348_2009,Coachella,0.197375401,0.473260555,23.39427007,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,43.46727978,87.24247418,34.64705882,14.70588235,0,0,66.8346291,37.486272,0,0,192.9013064,254.9066496,,,49.35294118,77.77285932,157.5850546
49,33.463593_-116.074278_2010,530.1764706,33.463593,-116.074278,2010,33.463593_-116.074278,348,348_2010,Coachella,0.199904918,0.95952695,22.31737641,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,769.1939966,145.0826355,155,147.4117647,0,0,199.0304625,265.0353889,0,0,128.40675,179.7925623,,,302.4117647,435.312827,143.9470543
50,33.470187_-116.094818_2006,29.5625,33.470187,-116.094818,2006,33.470187_-116.094818,348,348_2006,Coachella,0.200069265,0.376138704,23.41596548,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,35.87751153,121.3615612,37.5,0.375,0,0,44.20859645,1.5,0,0,117.8895905,400,,,37.875,44.48201884,117.4442742
51,33.470187_-116.094818_2007,21.52941176,33.470187,-116.094818,2007,33.470187_-116.094818,348,348_2007,Coachella,0.19006422,0.175126799,23.444368,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,15.68485594,72.85315602,31.47058824,0.235294118,0,0,42.32776519,0.562295715,0,0,134.4994408,238.9756787,,,31.70588235,42.35676555,133.5927671
52,33.470187_-116.094818_2008,32.72222222,33.470187,-116.094818,2008,33.470187_-116.094818,348,348_2008,Coachella,0.193106837,0.689030126,23.67992768,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,24.36681822,74.4656584,31.38888889,0.055555556,0,0,34.06937367,0.23570226,0,0,108.5395975,424.2640687,,,31.44444444,34.13506429,108.5567416
53,33.470187_-116.094818_2009,17.88888889,33.470187,-116.094818,2009,33.470187_-116.094818,348,348_2009,Coachella,0.197375401,0.473260555,23.39427007,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,14.56381046,81.41260506,83.83333333,0.611111111,0,0,204.0880001,2.35494196,0,0,243.4449305,385.3541389,,,84.44444444,203.9429627,241.5114032
54,33.470187_-116.094818_2010,45.23529412,33.470187,-116.094818,2010,33.470187_-116.094818,348,348_2010,Coachella,0.199904918,0.95952695,22.31737641,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,54.62317435,120.7534413,143.9411765,0.058823529,0,0,299.7775155,0.242535625,0,0,208.2639054,412.3105626,,,144,299.8518384,208.2304433
55,33.48065_-116.112692_2006,7.4375,33.48065,-116.112692,2006,33.48065_-116.112692,348,348_2006,Coachella,0.200069265,0.376138704,23.41596548,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,11.31352436,152.1146132,8.5625,0.25,0,0,11.89380091,1,0,0,138.905704,400,,,8.8125,12.25408095,139.0534009
56,33.48065_-116.112692_2007,7,33.48065,-116.112692,2007,33.48065_-116.112692,348,348_2007,Coachella,0.19006422,0.175126799,23.444368,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,6.194755847,88.4965121,5.176470588,0.352941176,0,0,8.187149184,1.221739358,0,0,158.1608365,346.1594848,,,5.529411765,8.345040796,150.9209506
57,33.48065_-116.112692_2008,11.05555556,33.48065,-116.112692,2008,33.48065_-116.112692,348,348_2008,Coachella,0.193106837,0.689030126,23.67992768,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,10.95161671,99.05984957,6,0.166666667,0,0.166666667,9.235481452,0.707106781,0,0.707106781,153.9246909,424.2640687,,424.2640687,6.333333333,9.190788227,145.1177088
58,33.48065_-116.112692_2009,12.66666667,33.48065,-116.112692,2009,33.48065_-116.112692,348,348_2009,Coachella,0.197375401,0.473260555,23.39427007,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,12.46170605,98.38188983,15.94444444,0.222222222,0,0,25.92176515,0.548318881,0,0,162.5755306,246.7434962,,,16.16666667,26.2460081,162.3464419
59,33.48065_-116.112692_2010,9.764705882,33.48065,-116.112692,2010,33.48065_-116.112692,348,348_2010,Coachella,0.199904918,0.95952695,22.31737641,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,9.902836789,101.4145936,25.88235294,0.235294118,0,0,31.93525159,0.752446989,0,0,123.3861993,319.7899701,,,26.11764706,32.16730163,123.1630918
60,33.481054_-116.095336_2006,51.1875,33.481054,-116.095336,2006,33.481054_-116.095336,348,348_2006,Coachella,0.200069265,0.376138704,23.41596548,0,0.481164375,3.204943816,3.677160932,2.201322642,9.564591765,0.047727068,0.020491512,33.77921493,-116.3500166,1.259110319,9.932479258,43.09094066,84.18254585,6.4375,4.5625,0,0,9.040418501,9.444354575,0,0,140.4336854,206.9995523,,,11,12.95119042,117.7380947
